name,id,flux/second,f/s (base rate),f/s (base cap),flux/use,f/u (base rate),f/u (base cap),cr/u,max uses,regen,charge up,active,down,cooldown,toggle,noDissipation,noHardDissipation,hardFlux,noFiring,noTurning,noStrafing,noAccel,noShield,noVent,isPhaseCloak,tags,icon
Lanzador de Señuelos,flarelauncher,,,,,,,,5,,,,,5,,,,,,,,,,,,defensive,graphics/icons/hullsys/flare_launcher.png
Cartucho Flak,canister_flak,,,,,,,,2,0.05,,,,3,,,,,,,,,,,,defensive,graphics/icons/hullsys/canister_flak.png
Lanzador de Señuelos de Distracción,flarelauncher_fighter,,,,,,,,1,0.033,,,,5,,,,,,,,,,,,defensive,graphics/icons/hullsys/decoy_flare.png
Lanzador de Señuelos de Distracción (Individual),flarelauncher_single,,,,,,,,1,0.033,,,,5,,,,,,,,,,,,defensive,graphics/icons/hullsys/flare_launcher.png
Lanzador de Señuelos Activos,flarelauncher_active,,,,,,0.1,,,,,,,5,,,,,,,,,,,,defensive,graphics/icons/hullsys/active_flare_launcher.png
Propulsión Primaria,burndrive,1,,,,,,,,,2,5,1,10,TRUE,,,,,TRUE,TRUE,TRUE,TRUE,,,movement,graphics/icons/hullsys/burn_drive.png
Propulsión de Combate,combat_burn,1,,,,,,,,,1,,1,0,TRUE,,,,,,TRUE,TRUE,TRUE,,,movement,graphics/icons/hullsys/combat_burn.png
Propulsión Plasma,microburn,1,,,,,,,2,0.1,0.5,0.5,0.5,,,,,,,,TRUE,TRUE,,,,movement,graphics/icons/hullsys/plasma_burn.png
Micro Propulsión,microburn_omega,1,,,,,,,3,0.1,0.5,0.5,0.5,,,,,,,,TRUE,TRUE,,,,"restricted, movement",graphics/icons/hullsys/burn_drive.png
Jets de Maniobra,maneuveringjets,,,,,,,,,,1,5,1,5,,,,,,,,,,,,movement,graphics/icons/hullsys/maneuvering_jets.png
Estabilizador Dinámico,dynamic_stabilizer,,,,,,,,,,1,5,1,5,,,,,,,,,,,,movement,graphics/icons/hullsys/maneuvering_jets.png
Inyector Infernium,inferniuminjector,1,,,,,,,,,1,,1,1,TRUE,,,,,,,TRUE,,,,movement,graphics/icons/hullsys/infernium_injector.png
Portamisiles Rápidos,fastmissileracks,,,,,,0.25,,3,0.1,1,0,0,0,,,,,,,,,,,,offensive,graphics/icons/hullsys/missile_racks.png
Escudo Fortaleza,fortressshield,,,0.025,,,,,,,1.5,,1.5,0,TRUE,,,TRUE,TRUE,,,,,,,defensive,graphics/icons/hullsys/fortress_shield.png
Focalización de Energía,highenergyfocus,1,,,,,,,3,0.05,0.25,3,0.25,,,,,,,,,,,,,offensive,graphics/icons/hullsys/high_energy_focus.png
Teleportador Phase,phaseteleporter,,,,,,,,,,0.5,0,0.5,15,,,,TRUE,,,,,,,,movement,graphics/icons/hullsys/teleport.png
Desplazador Phase,displacer,,,,,,,,3,0.1,0.25,,0.25,0,,TRUE,,TRUE,,,,,,,,movement,graphics/icons/hullsys/displacer.png
Drones de Defensa Antiaérea,drone_pd,,,,,,,,20,,0,,0,0,,,,,,,,,,,,,graphics/icons/hullsys/drone_pd_high.png
Drones de Defensa Antiaérea,drone_pd_x2,,,,,,,,10,,0,,0,0,,,,,,,,,,,,,graphics/icons/hullsys/drone_pd_mid.png
Drones Perforadores,drone_borer,,,,,,,,15,,0,,0,0,,,,,,,,,,,,,graphics/icons/hullsys/drone_borer.png
Drones de Sensores,drone_sensor,,,,,,,,5,,0,,0,0,,,,,,,,,,,,,graphics/icons/hullsys/drone_sensor.png
Drones Terminator,drone_terminator,,,,,,,,1,0.0333,0,,0,0,,,,,,,,,,,,,graphics/icons/hullsys/termination_sequence.png
Cargador Acelerado,ammofeed,,,,,,,,,,1,5,1,10,,,,,,,,,,,,offensive,graphics/icons/hullsys/ammo_feeder.png
Matriz Lidar,lidararray,1,,,,,,,,,3.25,5,1,10,,,,,,,,,,,,offensive,graphics/icons/hullsys/lidar_barrage.png
Emisor EMP,emp,1,,,,,0.2,,,,0.5,4,0.5,3,,,,,TRUE,,,,,,,"defensive, offensive",graphics/icons/hullsys/emp_emitter.png
Autoforja de Misiles,forgevats,,,,,,0.75,,2,,1,0,0,0,,,,,,,,,,,,,graphics/icons/hullsys/missile_autoforge.png
Campo de Amortiguación,damper,1,,,,,,,2,0.05,0.25,3,0.25,0,,,,,TRUE,,,,TRUE,TRUE,,"uses_damper_ai, defensive",graphics/icons/hullsys/damper_field.png
Amortiguador de Entropía,damper_omega,1,,,,,,,2,0.05,0.25,3,0.25,0,,,,,,,,,TRUE,TRUE,,"uses_damper_ai, defensive",graphics/icons/hullsys/damper_field.png
Salto Temporal,temporalshell,1,,,,,0.25,,,,4,10,2,10,,,,,,,,,,,,,graphics/icons/hullsys/temporal_shell.png
Disruptor Acausal,acausaldisruptor,,,,,,0.25,,,,0.5,,1,20,,,,,,,,,,,,,graphics/icons/hullsys/quantum_disruptor.png
Amplificador de Entropía,entropyamplifier,,,,,,0.2,,,,0.5,10,1,10,,,,,,,,,,,,offensive,graphics/icons/hullsys/entropy_amplifier.png
Matriz de Interdicción,interdictor,,,,,,0.25,,,,0.5,,0.5,20,,,,,,,,,,,,,graphics/icons/hullsys/interdictor_array.png
Minas de Asalto,mine_strike,,,,,,0.1,,5,0.2,0.25,,0.25,0,,,,,,,,,,,,offensive,graphics/icons/hullsys/mine_strike.png
Transductor Crioflux,cryoflux,,,,,,0.75,,,,0.5,,0.5,,TRUE,,,,,,,,,,,restricted,graphics/icons/hullsys/quantum_disruptor.png
Despliegue de Reservas,reservewing,,,,,,0.5,,,,0.1,,3,60,,,,,,,,,,,,offensive,graphics/icons/hullsys/reserve_deployment.png
Datos de Localización,targetingfeed,,,,,,0.5,,,,0.5,20,0.5,10,,,,,,,,,,,,offensive,graphics/icons/hullsys/targeting_feed.png
Dispositivo de Regreso,recalldevice,,,,,,0.5,,,,0.5,,0.5,30,,,,,,,,,,,,,graphics/icons/hullsys/recall_device.png
Jets Plasma,plasmajets,,,,,,,,,,1,3,2,5,,,,,,,,,,,,movement,graphics/icons/hullsys/plasma_jets.png
Propulsión de Orión,orion_device,,,,,,,,4,0.2,0,0.001,0,1,,,,,,,,,,,,movement,graphics/icons/hullsys/orion_drive.png
Explosión Nova,nova_burst,,,,,,,,2,0.1,0.5,0.001,0,1,,,,,,,,,,,,movement,graphics/icons/hullsys/nova_burst.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conversión de Energía,energy_conversion,,,,,,0,,3,0.1,0.5,,2,0,,TRUE,,TRUE,,,,,,,,restricted,graphics/icons/hullsys/displacer.png
Figmento Quiral,chiral_figment,,,,,,,,,,0.5,,0.5,30,,,,,,,,,,,,restricted,graphics/icons/hullsys/interdictor_array.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camuflaje Phase,phasecloak,,,,,,,,,,0.5,,0.5,2,TRUE,,TRUE,TRUE,TRUE,,,,TRUE,,TRUE,defensive,graphics/icons/hullsys/phase_cloak.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desplazador Phase (Drones),skimmer_drone,,,,,,0.05,,3,0.25,0.25,,0.25,,,TRUE,,TRUE,,,,,,,,,graphics/icons/hullsys/displacer.png
Desplazador Phase Degradado,displacer_degraded,,,,,,,,2,0.067,0.25,,0.25,0,,TRUE,,TRUE,,,,,,,,,graphics/icons/hullsys/skimmer_degraded.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propulsión Máxima,traveldrive,1,,,,,,,,,2,,2,0,TRUE,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,graphics/icons/hullsys/burn_drive.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Autoforja de Misiles Pesada,forgevats_station,,,,,,0,,,,1,0,0,30,,,,,,,,,,,,,graphics/icons/hullsys/heavy_missile_autoforge.png
Drones Merlon,drone_station_lt,,,,,,,,5,,0,,0,0,,,,,,,,,,,,,graphics/icons/hullsys/station_defense_drones_low.png
Drones Ravelin,drone_station_mid,,,,,,,,3,,0,,0,0,,,,,,,,,,,,,graphics/icons/hullsys/station_defense_drones_mid.png
Drones Gárgola,drone_station_high,,,,,,,,4,,0,,0,0,,,,,,,,,,,,,graphics/icons/hullsys/station_defense_drones_high.png
