name,id,tags,planetary,decivRemove,script,desc,icon,order
Sociedad Urbanizada,urbanized_polity,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.UrbanizedPolity,"En este denso y cosmopolita núcleo urbano, personas de todos los ámbitos de la vida viven, trabajan y mueren en los complejos residenciales de varias plantas, los centros comerciales y los talleres modulares.",graphics/icons/markets/urbanized_polity.png,130
Sociedad Industrializada,industrial_polity,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.IndustrialPolity,"Un bullicioso centro industrial. Las políticas del gobierno local fomentan el auge de la industria, a costa de cualquier otra consideración.",graphics/icons/markets/urbanized_polity.png,130
Sociedad Rural,rural_polity,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.RuralPolity,"Una comunidad poco poblada, formada por granjas y pueblos aislados. En estos tiempos convulsos, a los forasteros se les suele mirar con recelo.",graphics/icons/markets/rural_polity.png,130
Gran Número de Refugiados,large_refugee_population,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.LargeRefugeePopulation,"Refugiados desesperados que huyen de algún desastre han acabado aquí. Los refugiados viven en los márgenes de la sociedad con pocas oportunidades de mejorar su situación, lo que supone una carga para las infraestructuras domésticas, ya que se encuentran en una situación de semilegalidad que genera tensiones. La producción general se ha reducido. Es probable que se encuentren más candidatos para formar parte de la tripulación entre quienes intentan escapar de esas condiciones de vida miserables.",graphics/icons/markets/refugee_population.png,140
Explotación de Langostas Volturnianas,volturnian_lobster_pens,"show_in_codex, codex_unlockable",TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Una mezcla de varias especies de la Vieja Tierra y un poco de imaginación dieron lugar a esta criatura, que crece de forma silvestre en las profundidades abismales del lecho marino de Volturn. Se dice que su sabor es excepcional.",graphics/icons/markets/lobster_pens.png,137
Demanda de Vicios,vice_demand,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.ViceDemand,Aquí la demanda de productos de mal gusto es inusualmente alta.,graphics/icons/markets/vice_demand.png,145
Crimen Organizado,organized_crime,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.OrganizedCrime,La actividad criminal genera drogas y tráfico de órganos. Aumenta la demanda de armas cortas (tanto por parte de diversos jefes del crimen organizado como de la población local) y de marines (por parte de las autoridades locales).,graphics/icons/markets/organized_crime.png,148
Frontera Salvaje,frontier,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Frontier,"Lejos de los centros urbanos cosmopolitas, la mera supervivencia, la autosuficiencia y lo estrictamente necesario son las reglas de la frontera. Aumenta la demanda de armas y suministros, disminuye la de bienes de lujo.",graphics/icons/markets/frontier.png,130
Centro de Desguace Naval,shipbreaking_center,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.ShipbreakingCenter,"Uno de los principales centros de desguace naval de esta región del Sector; aquí son descuartizados los cascos abandonados que envían las flotas de las principales facciones y muchos otros clientes procedentes de los planetas centrales del Sector.",graphics/icons/markets/shipbreaking.png,360
Nodo Comercial,trade_center,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.TradeCenter,"Un importante nodo de comercio; naves mercantes de todo el Sector atracan aquí con la esperanza de encontrar un comprador para sus mercancías y, a su vez, encontrar algo que comprar, obteniendo un buen beneficio.",graphics/icons/markets/trade_center.png,280
Descivilizado,decivilized,,,,com.fs.starfarer.api.impl.campaign.econ.Decivilized,"Aquí no existe ningún régimen político estable. La civilización ha caído y se desconoce el número exacto de habitantes, aunque se pueden avistar grupos de supervivientes, bandidos y saqueadores.",graphics/icons/markets/decivilized.png,130
Subploblación Descivilizada,decivilized_subpop,,,,com.fs.starfarer.api.impl.campaign.econ.DecivilizedSubpop,"En algunas zonas de $market se ha restablecido la civilización, a menudo a punta de rifle Gauss. Sin embargo, en los márgenes sigue habiendo una población desconocida de supervivientes, bandidos y saqueadores.",graphics/icons/markets/decivilized.png,130
Estación Abandonada,abandoned_station,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.AbandonedStation,Esta estación está abandonada.,graphics/icons/markets/abandoned.png,130
Industria Artesanal,cottage_industry,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.CottageIndustry,"$Market cuenta con una importante base de industria ligera de baja tecnología y de gran intensidad de mano de obra. Aumenta la demanda de combustibles y materiales orgánicos sencillos, y proporciona una oferta de productos domésticos ineficiente aunque de encanto artesanal.",graphics/icons/markets/cottage_industry.png,230
Puesto de Avanzada,outpost,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Outpost,"$Market funciona de manera muy similar a una guarnición o a una gran nave espacial, con una estructura de mando oficial rígida. Mejora la estabilidad, pero requiere que parte del personal se ocupe de los asuntos de seguridad interna.",graphics/icons/markets/outpost.png,130
Mayoría Ludita,luddic_majority,"show_in_codex, codex_unlockable",,TRUE,com.fs.starfarer.api.impl.campaign.econ.LuddicMajority,,graphics/icons/markets/luddic_majority.png,142
Campos de Minas Ocultos,stealth_minefields,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.StealthMinefields,Una red de minas ocultas garantiza la seguridad de $market frente a intrusos. Mejora la estabilidad.,graphics/icons/markets/stealth_mines.png,510
Capital Regional,regional_capital,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.RegionalCapital,"Un importante centro de administración, seguridad y logística. Mejora la estabilidad.",graphics/icons/markets/capital.png,500
