id,name,order,tier,reqPoints,reqPointsPerExtraSkill,description,author,combat officer,admiral,admin,tags,icon,
# COMBAT,,,,,,,,,,,,,
helmsmanship,Pilotaje,10,1,0,,"Suena de maravilla cuando lo clavas, algo así como, [tarareando]. Todo encaja a la perfección, desde las estrellas hasta lo más profundo de tus huesos. Al terminar el turno, es como si acabara de despertarme. [risas] No hay palabras para describirlo.","Proyecto de entrevistas portuarias de Nachiketa, Ep. 3",TRUE,,,,graphics/icons/skills/helmsmanship.png,
combat_endurance,Resistencia en Combate,20,1,0,,"A pesar de la adversidad, el Decimocuarto perduró. 
A través de la hegemonía, el Dominio perdura. 
A través del deber, la humanidad perdurará.","Almirante Kali Molina, La Declaración de Hegemonía, c. 49",TRUE,,,,graphics/icons/skills/combat_endurance3.png,
impact_mitigation,Mitigación de Impactos,30,2,0,,"La maniobra provocó un ángulo de impacto oblicuo, lo que disipó la energía cinética del proyectil en el revestimiento de espuma férrica. Fue la desafortunada coincidencia del impacto resultante lo que provocó el trágico final del astronauta York durante un traslado de maquinaria pesada que, de no ser por eso, habría sido una simple rutina.","Escaramuza de Thule del c120.03.08, informe AAR enviado por Navarch Zhou",TRUE,,,,graphics/icons/skills/impact_mitigation.png,
damage_control,Control de Daños,40,2,0,,"Lo que se perdió, se perdió. Deja que esos compartimentos se quemen; centra tus esfuerzos en lo que nos mantendrá vivos.","Navarch Tethys, discurso final dirigido a la tripulación del PLS Astelene Key",TRUE,,,,graphics/icons/skills/damage_control2.png,
field_modulation,Modulación de Campos de Fuerza,50,2,0,,Pocos tienen talento para lo que me gusta llamar «calibración activa». He descubierto que los músicos son los mejores oficiales de campos.,"Ardis Soloman, datos filtrados enviados al algoritmo de censura COMSEC",TRUE,,,active_defenses,graphics/icons/skills/field_modulation.png,
point_defense,Defensa Antiaérea,60,3,0,,"A mí, personalmente, no me convencen los láseres y esas cosas. Es cierto que te montas un espectáculo de luces impresionante, pero nada detiene misiles enemigos como el muro de uranio empobrecido de una buena batería Vulcan.","«Héroes de la cubierta inferior», una serie de HEGCOM",TRUE,,,,graphics/icons/skills/advanced_countermeasures.png,
target_analysis,Análisis de Objetivos,70,4,0,,Una mente humana asistida por una máquina es capaz de intuir soluciones eficaces a pesar de datos sensoriales conflictivos y directrices tácticas contradictorias. El software de puntería por sí solo nunca podrá sustituir a un verdadero guerrero.,"«El combate espacial, 22.ª ed.», de la biblioteca del Grupo de Combate XIV",TRUE,,,,graphics/icons/skills/target_analysis2.png,
ballistic_mastery,Maestría Balística,80,4,0,,"¿Qué frustró el complot de Tri-Tachyon? (¡Cañones!)
¿Qué fue lo que el viejo Ludd olvidó? (¡Cañones!)
¿Qué tenemos nosotros que ellos no? (¡Cañones enormes!)",canción de taberna de la Armada de la Hegemonía,TRUE,,,ballistic_weapons,graphics/icons/skills/ranged_specialization.png,

