event_type,event_stage,p,target_rel,channels,subject,summary,assessment,image,icon,tags,sound_id,implementation notes
food_shortage,possible,,,player_intel,Posible escasez de alimentos $onOrAt $market,Análisis de inteligencia obtenida a partir de comunicaciones interceptadas y otras fuentes sugiere que es probable que se produzca una escasez de alimentos $onOrAt $market en unas pocas semanas.,Aumento del precio de los alimentos y reducción de estabilidad $onOrAt $market si se produjera la escasez.,,graphics/icons/markets/food_shortage.png,,,
food_shortage,likely,,,player_intel,Probable escasez de alimentos $onOrAt $market,Análisis de inteligencia obtenida a partir de comunicaciones interceptadas y otras fuentes sugiere que es muy probable que se produzca una escasez de alimentos $onOrAt $market en unas pocas semanas.,Aumento del precio de los alimentos y reducción de estabilidad $onOrAt $market si se produjera la escasez.,,graphics/icons/markets/food_shortage.png,,,
food_shortage,likely,0.5,HOSTILE,hegemony_internal,Probable escasez de alimentos $onOrAt $market,"Este informe indica que es casi seguro que se producirá una escasez de alimentos $onOrAt $market, y aconseja a las unidades de la zona sobre las medidas que podrían adoptarse para maximizar su impacto.","La flota de apoyo humanitario probablemente se envíe desde un sistema estelar cercano; interceptarla prolongará la escasez y desestabilizará aún más $market.

La venta de alimentos en el mercado negro aumentará el desorden tras la escasez.",,graphics/icons/markets/food_shortage.png,,,
food_shortage,likely,0.5,FRIENDLY,hegemony_internal,Probable escasez de alimentos $onOrAt $market,"Este informe indica que es casi seguro que se producirá una escasez de alimentos $onOrAt $market, y aconseja a las unidades que se mantengan preparadas para prestar asistencia.",Suministrar rápidamente alimentos suficientes a $market reducirá la duración y el impacto de la escasez.,,graphics/icons/markets/food_shortage.png,,,
food_shortage,start,,,news,Escasez de alimentos $onOrAt $market,"El informe analiza la escasez de alimentos $onOrAt $market y ofrece una perspectiva equilibrada, pero no logra identificar una causa concreta. El factor más probable parece ser una cadena de fallos en un sistema logístico cada vez más deteriorado.","Aumento del precio de los alimentos $onOrAt $market.

Estabilidad reducida en $stabilityPenalty.

Se necesitan aproximadamente $neededFood unidades de alimentos para poner fin a la escasez.
Es probable que se envíe una flota de apoyo humanitario desde un sistema estelar cercano.

Mayor impacto en la reputación por la venta de alimentos. La venta de alimentos en el mercado negro aumentará el desorden social tras la escasez.",,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,start,0.25,HOSTILE,hegemony_public,Escasez crítica de alimentos $onOrAt $market,"El informe señala que la escasez de alimentos $onOrAt $market es inusualmente grave y acusa a la administración de $theMarketFaction de provocar una crisis humanitaria.","Aumento del precio de los alimentos $onOrAt $market.

Estabilidad reducida en $stabilityPenalty.

Se necesitan aproximadamente $neededFood unidades de alimentos para poner fin a la escasez.

Es probable que se envíe una flota de apoyo humanitario desde un sistema estelar cercano.

Mayor impacto en la reputación por la venta de alimentos. La venta de alimentos en el mercado negro aumentará el desorden social tras la escasez.",,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,start,0.25,SELF,hegemony_public,Supuesta escasez de alimentos $onOrAt $market,"El informe desmiente rotundamente cualquier rumor sobre una escasez de alimentos $onOrAt $market y anima a los ciudadanos a colaborar denunciando a cualquier persona sospechosa de difundir rumores maliciosos.","Aumento del precio de los alimentos $onOrAt $market.

Estabilidad reducida en $stabilityPenalty.

Se necesitan aproximadamente $neededFood unidades de alimentos para poner fin a la escasez.

Es probable que se envíe una flota de apoyo humanitario desde un sistema estelar cercano.

Mayor impacto en la reputación por la venta de alimentos. La venta de alimentos en el mercado negro aumentará el desorden social tras la escasez.",,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,warning_relief,,,player_intel,Escasez de alimentos $onOrAt $market: se está organizando una ayuda en $reliefMarket,"Análisis de comunicaciones indica que se está organizando una flota de ayuda humanitaria desde $reliefMarket en $reliefSystem, y que será enviada a $market en un futuro próximo.","La flota lleva consigo alimentos suficientes para poner fin a la escasez.

Si la flota no llega según lo previsto, la situación en $market se desestabilizará aún más.",,graphics/icons/markets/food_shortage.png,,,
food_shortage,warning_relief,0.5,HOSTILE,"hegemony_internal,
tritachyon_internal,
sindrian_diktat_internal",Escasez de alimentos $onOrAt $market: se está organizando una ayuda en $reliefMarket,"El informe indica que se está organizando una flota de ayuda humanitaria desde $reliefMarket en $reliefSystem, y que es probable que pueda ponerse en marcha en unas semanas.","La flota lleva consigo alimentos suficientes para poner fin a la escasez.

Si la flota no llega según lo previsto, la situación en $market se desestabilizará aún más.",,graphics/icons/markets/food_shortage.png,,,
food_shortage,warning_relief,0.5,FRIENDLY,"hegemony_internal,
tritachyon_internal,
sindrian_diktat_internal",Escasez de alimentos $onOrAt $market: se está organizando una ayuda en $reliefMarket,"El informe indica que se está organizando una flota de ayuda humanitaria desde $reliefMarket en $reliefSystem, y que es probable que pueda ponerse en marcha en unos días. Se recomienda a las unidades cercanas asegurarse de que la flota llegue a su destino de forma segura.","La flota lleva consigo alimentos suficientes para poner fin a la escasez.

Si la flota no llega según lo previsto, la situación en $market se desestabilizará aún más.",,graphics/icons/markets/food_shortage.png,,,
