name,id,tags,tech/manufacturer,rarity,base price,stack size,cargo space,baseRaidDanger,icon,sound id,sound id drop,plugin,plugin params,desc,order
Especificaciones de Modificación,modspec,modspec,,,1,1000,1,,graphics/icons/cargo/modspec2.png,ui_chip_pickup,ui_modspec_drop,com.fs.starfarer.api.campaign.impl.items.ModSpecItemPlugin,,"Una recopilación de notas, directrices y ejemplos prácticos que permiten adaptar y aplicar esta modificación a distintos tipos de cascos.",50
# other items,,,,,,,,,,,,,,,
# other items,,,,,,,,,,,,,,,
Nanoforja Corrupta,corrupted_nanoforge,"nanoforge, pather4, colony_item, codex_unlockable",Domain Restricted,,50000,1000,1,HIGH,graphics/icons/cargo/nanoforge_corrupted.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,"heavyindustry, orbitalworks","Una «caja negra» manufacturera potente y versátil, capaz de ampliarse hasta alcanzar una escala industrial, siempre que se disponga de las materias primas y de la ayuda humana necesaria.

Esta ya ha vivido días mejores y es incapaz de fabricar componentes sin defectos de forma fiable. No obstante, el mero hecho de tener acceso a una nanoforja supone un gran avance en lo que respecta a la construcción de naves espaciales.",139
Nanoforja Impecable,pristine_nanoforge,"nanoforge, hist3t, pather4, colony_item, codex_unlockable",Domain Restricted,,250000,1000,1,EXTREME,graphics/icons/cargo/nanoforge_pristine.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,"heavyindustry, orbitalworks","Una «caja negra» manufacturera potente y versátil, capaz de ampliarse hasta alcanzar una escala industrial, siempre que se disponga de las materias primas y de la ayuda humana necesaria.

Esta está como nueva, al menos según sus sistemas de diagnóstico integrados. En la práctica, conseguir componentes para naves espaciales sin defectos sigue siendo un reto dado el estado general de la industria manufacturera en el Sector, pero esta nanoforja es de lo mejor que se puede encontrar.",139.1
Núcleo del Sincrotrón,synchrotron,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Domain Restricted,,250000,1000,1,EXTREME,graphics/icons/cargo/synchrotron_core.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,fuelprod,"Una nanoforja especializada, equipada con firmware y nanotecnología de arranque para transformarse en un sincrotrón que permite la producción de antimateria a escala industrial.",139.2
Lámpara de Fusión Orbital,orbital_fusion_lamp,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Fabrique Orbitale,,150000,1000,1,EXTREME,graphics/icons/cargo/fusion_lamp.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,population,"Un reactor de fusión miniaturizado y de potencia variable capaz de proporcionar luz y calor en abundancia a un planeta.

Su correcto funcionamiento requiere cantidades ingentes de volátiles. Si no se satisface esta demanda, el reactor sufre una inestabilidad potencialmente peligrosa, lo que puede provocar un aumento descontrolado de la potencia. En el momento del Colapso, se estaban tramitando en los tribunales del Dominio litigios sobre si este dispositivo tenía un diseño intrínsecamente inseguro o si simplemente se utilizaba de forma insegura.",135
Llave de Hiperaguja,coronal_portal,"hist3t, pather8, planet_search, colony_item, codex_unlockable",Domain Restricted,,300000,1000,1,EXTREME,graphics/icons/cargo/hypershunt_tap.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,population,"Una interfaz de agujero de gusano miniaturizada que puede activarse para conectarse a un hiperaguja coronal cercana, proporcionando a una colonia de energía prácticamente ilimitada.

Su funcionamiento requiere cantidades industriales de transplutónicos, que se utilizan en un primer momento para abrir el agujero de gusano y, posteriormente —una vez que la energía extraída se vuelve autosuficiente—, se consumen en un complejo proceso ablativo que mantiene la estabilidad del agujero de gusano. Cualquier interrupción en el suministro requiere el cierre total de la llave.",137
Perforadora de Mantos Autónoma,mantle_bore,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Eridani-Utopia Terraforming,,80000,1000,1,EXTREME,graphics/icons/cargo/terraforming_bore.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,mining,"Aunque se estima que ya no quedan unidades de control operativas en el Sector, la propia perforadora es capaz de funcionar de forma autónoma, aunque a veces de manera impredecible. Los mecanismos de seguridad del modo automático impiden su uso en planetas habitables.",140
Núcleo Catalítico,catalytic_core,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Ko Combine,,100000,1000,1,EXTREME,graphics/icons/cargo/catalytic_core.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,refining,Mejora considerablemente la eficacia de las operaciones de refinado gracias a una sorprendente particularidad de la física de ósmosis. Su funcionamiento requiere acceso al vacío a una escala difícil de alcanzar en planetas con una presión atmosférica considerable.,145
