id,name,cost mult,build time,income,upkeep,downgrade,upgrade,tags,data,image,plugin,desc,order,disruptDanger
population,Población e Infraestructura,,,10,3,,,"population, unraidable, no_saturation_bombardment",,graphics/icons/industry/population.png,com.fs.starfarer.api.impl.campaign.econ.impl.PopulationAndInfrastructure,"La infraestructura básica necesaria para sustentar a una población determinada, desde destartalados módulos habitables hasta megaciudades, pasando por todo lo demás.",100,
farming,Agricultura,15,60,,1,,,"farming, industry, rural",,graphics/icons/industry/farming.png,com.fs.starfarer.api.impl.campaign.econ.impl.Farming,"La agricultura es un oficio y una tecnología tan antigua como la propia civilización; durante miles de años, la humanidad ha aprovechado el poder de los organismos biológicos naturales, modificados y artificiales para su sustento. Así ha sido siempre, y así seguirá siendo mientras los seres humanos sigan siendo humanos.",200,LOW
aquaculture,Acuicultura,50,60,,3,,,"farming, industry, rural",,graphics/icons/industry/aquaculture.png,com.fs.starfarer.api.impl.campaign.econ.impl.Farming,"La agricultura en un mundo acuático requiere una inversión inicial considerable en la bioingeniería de especies adecuadas, pero una vez que el proceso se pone en marcha, la población puede gestionar las granjas de algas y las explotaciones pesqueras sin necesidad de mucha formación especializada ni equipamiento.",210,MEDIUM
mining,Minería,20,60,,2,,,"mining, industry, industrial",,graphics/icons/industry/mining.png,com.fs.starfarer.api.impl.campaign.econ.impl.Mining,"La extracción de minerales metálicos y metaloides, orgánicos y volátiles requiere equipamiento pesado, infraestructuras especiales y mano de obra cualificada. Las duras condiciones de trabajo atraen a un tipo concreto de personas, y una administración que no esté dispuesta a hacer la vista gorda de vez en cuando podría encontrarse con una escasez de personal.",300,MEDIUM
techmining,Minería de Tecnología,30,45,,2,,,"techmining, industry, industrial",,graphics/icons/industry/techmining.png,com.fs.starfarer.api.impl.campaign.econ.impl.TechMining,"La minería de tecnología es el variopinto arte de recuperar objetos valiosos de las ruinas del Dominio. Requiere herramientas especiales para hacer frente a peligros únicos y el criterio de un experto para saber dónde buscar un buen botín de joyas tecnológicas. Los mineros más veteranos son gente extraña que se aferran a amuletos de la suerte y se niegan a trabajar sin sus rituales.",400,MEDIUM
refining,Refinería,45,90,,3,,,"refining, industry, industrial",,graphics/icons/industry/refining.png,com.fs.starfarer.api.impl.campaign.econ.impl.Refining,"Las plantas de fundición transforman los minerales y los minerales transplutónicos en metales y transplutónicos, respectivamente. Por lo general, se utilizan robots teledirigidos para realizar las tareas más peligrosas.",500,MEDIUM
spaceport,Puerto Espacial,10,15,,3,,megaport,"spaceport, important, structure",,graphics/icons/industry/spaceport.png,com.fs.starfarer.api.impl.campaign.econ.impl.Spaceport,"Instalaciones para la carga y descarga de mercancías y para realizar reparaciones básicas en naves espaciales. Una colonia sin puerto espacial es prácticamente inaccesible para el comercio interestelar.",150,HIGH
megaport,Megapuerto Espacial,60,150,,4,spaceport,,"spaceport, structure",,graphics/icons/industry/megaport.png,com.fs.starfarer.api.impl.campaign.econ.impl.Spaceport,"Un colosal puerto espacial donde las estrellas parecen rozar el suelo. Las grúas de aterrizaje, dispuestas en filas ordenadas, y los depósitos de combustible blindados se entrelazan con tranvías de corto recorrido que abastecen a una extensa zona de almacenes y terminales logísticos, todo en su conjunto haciendo que la colonia sea mucho más accesible.",151,EXTREME
lightindustry,Industria Ligera,45,90,,8,,,"lightindustry, industry, rural",,graphics/icons/industry/light_industry.png,com.fs.starfarer.api.impl.campaign.econ.impl.LightIndustry,"Produce bienes de consumo y de lujo. Es una de las pocas industrias que se ha visto relativamente poco afectada por el Colapso, debido a su carácter poco tecnológico.",1400,MEDIUM
heavyindustry,Industria Pesada,100,120,,12,,orbitalworks,"heavyindustry, uses_blueprints, industry, industrial",,graphics/icons/industry/heavy_industry.png,com.fs.starfarer.api.impl.campaign.econ.impl.HeavyIndustry,"Infraestructura de fabricación centralizada para la producción de maquinaria industrial pesada, suministros y armamento. También es capaz de fabricar naves mínimamente viables para el espacio; se puede instalar una nanoforja para mejorar la calidad de producción.",1600,HIGH
orbitalworks,Astilleros Orbitales,60,150,,12,heavyindustry,,"heavyindustry, uses_blueprints, industry, industrial",,graphics/icons/industry/orbital_works.png,com.fs.starfarer.api.impl.campaign.econ.impl.HeavyIndustry,"Infraestructura de fabricación centralizada para la producción de maquinaria industrial pesada, suministros y armamento. También es capaz de fabricar naves mínimamente viables para el espacio; se puede instalar una nanoforja para mejorar la calidad de producción.

Se ha mejorado con un componente orbital que facilita aún más la construcción de naves, lo que se traduce en un menor número de defectos de fabricación.",1700,HIGH
