name,id,type,tags,activationDays,activationCooldown,durationDays,deactivationDays,deactivationCooldown,unlockedAtStart,defaultForAIFleet,musicSuppression,uiOn,uiOff,uiLoop,worldOn,worldOff,worldLoop,icon,plugin,ai,desc,sortOrder
Transpondedor,transponder,TOGGLE,stealth-,,,,0.1,,TRUE,TRUE,,ui_transponder_on,ui_transponder_off,,,,,graphics/icons/abilities/transponder.png,com.fs.starfarer.api.impl.campaign.abilities.TransponderAbility,com.fs.starfarer.api.impl.campaign.abilities.ai.TransponderAbilityAI,Transmite tu identidad; obligatorio para el comercio legal.,100
En Sigilo,go_dark,TOGGLE,"stealth+, burn-",0.1,,,,,TRUE,TRUE,,ui_go_dark_on,ui_go_dark_off,,world_go_dark_on,world_go_dark_off,,graphics/icons/abilities/go_dark.png,com.fs.starfarer.api.impl.campaign.abilities.GoDarkAbility,com.fs.starfarer.api.impl.campaign.abilities.ai.GoDarkAbilityAI,Reduce el perfil del sensor a costa del nivel de propulsión.,200
Ráfaga de Sensores,sensor_burst,DURATION,"stealth-, burn-, sensors+",0.2,,0.1,0.1,1,TRUE,TRUE,,ui_sensor_burst_on,,,world_sensor_burst_on,,,graphics/icons/abilities/sensor_burst.png,com.fs.starfarer.api.impl.campaign.abilities.SensorBurstAbility,com.fs.starfarer.api.impl.campaign.abilities.ai.SensorBurstAbilityAI,"La flota se detiene y aumenta el alcance de detección; la flota es más fácil de detectar.",300
Propulsión de Emergencia,emergency_burn,DURATION,"burn+, stealth-, sensors-",0.25,,0.7,0.25,1,TRUE,TRUE,1,ui_emergency_burn_on,ui_emergency_burn_off,ui_emergency_burn_loop,world_emergency_burn_on,world_emergency_burn_off,world_emergency_burn_loop,graphics/icons/abilities/emergency_burn.png,com.fs.starfarer.api.impl.campaign.abilities.EmergencyBurnAbility,com.fs.starfarer.api.impl.campaign.abilities.ai.EmergencyBurnAbilityAI,Aumenta temporalmente el nivel de propulsión a costa del combustible y la capacidad operativa.,400
Velocidad de Crucero,sustained_burn,TOGGLE,"burn+, stealth-",0.05,,,0.05,,TRUE,TRUE,,ui_sustained_burn_on,ui_sustained_burn_off,ui_sustained_burn_loop,world_sustained_burn_on,world_sustained_burn_off,,graphics/icons/abilities/travel_drive.png,com.fs.starfarer.api.impl.campaign.abilities.SustainedBurnAbility,com.fs.starfarer.api.impl.campaign.abilities.ai.SustainedBurnAbilityAI,Aumenta el nivel de propulsión a costa de la aceleración y la maniobrabilidad.,500
Pulso de Interdicción,interdiction_pulse,DURATION,"burn-, stealth-, sensors+",0.3,,0.001,,1,TRUE,TRUE,,ui_interdict_on,ui_interdict_off,ui_interdict_loop,world_interdict_on,world_interdict_off,world_interdict_loop,graphics/icons/abilities/interdiction_pulse.png,com.fs.starfarer.api.impl.campaign.abilities.InterdictionPulseAbility,com.fs.starfarer.api.impl.campaign.abilities.ai.InterdictionPulseAbilityAI,Frena a otra flota que se dirige hacia el origen del pulso.,650
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Rebuscar,scavenge,DURATION,,0,,0,0,0.2,TRUE,,,ui_scavenge_on,,,,,,graphics/icons/abilities/scavenge.png,com.fs.starfarer.api.impl.campaign.abilities.ScavengeAbility,,Busca entre un campo de escombros cualquier objeto de valor.,600
Detector de Neutrinos,gravitic_scan,TOGGLE,"stealth-, sensors+",0.1,,,0.1,,,,,ui_neutrino_detector_on,ui_neutrino_detector_off,,,,,graphics/icons/abilities/neutrino_detector.png,com.fs.starfarer.api.impl.campaign.abilities.GraviticScanAbility,,"Detecta entidades dentro del sistema a muy larga distancia; poco fiable, con lecturas erróneas.",700
Salto Transversal,fracture_jump,DURATION,"stealth-, burn+",0.4,,0.001,0.1,0.5,,,,,,,jump_point_open,,,graphics/icons/abilities/direct_jump.png,com.fs.starfarer.api.impl.campaign.abilities.FractureJumpAbility,,"Salta a un sistema a través de un pozo gravitacional naciente, o directamente al hiperespacio.",800
Sondeo a Distancia,remote_survey,DURATION,"stealth-, burn-, sensors+",0.5,,0.1,0.1,,,,,ui_remote_survey_on,,,,,,graphics/icons/abilities/remote_survey.png,com.fs.starfarer.api.impl.campaign.abilities.RemoteSurveyAbility,,Identifica el objetivo de sondeo más prometedor del sistema.,900
Llamada de Auxilio,distress_call,DURATION,,0,,0,0,1,TRUE,,,ui_distress_call_on,,,,,,graphics/icons/abilities/distress_call.png,com.fs.starfarer.api.impl.campaign.abilities.DistressCallAbility,,Lanza una señal de auxilio.,1000
,,,,,,,,,,,,,,,,,,,,,,
Polaridad Inversa,reverse_polarity,TOGGLE,codex_unlockable,0.05,,,0.05,,,,,ui_reverse_polarity_on,ui_reverse_polarity_off,ui_reverse_polarity_loop,world_reverse_polarity_on,world_reverse_polarity_off,,graphics/icons/abilities/reverse_polarity.png,com.fs.starfarer.api.impl.campaign.abilities.ReversePolarityToggle,,Ajusta el campo de propulsión para desplazarte en dirección contraria en los rebufos estelares.,640
Generar Subidón,generate_slipsurge,DURATION,"burn-, stealth-, sensors-, disabled_by_interdict, codex_unlockable",0.2,,0.001,,1,,,,ui_slipsurge_on,ui_slipsurge_off,ui_slipsurge_loop,world_slipsurge_on,world_slipsurge_off,world_slipsurge_loop,graphics/icons/abilities/slipsurge.png,com.fs.starfarer.api.impl.campaign.abilities.GenerateSlipsurgeAbility,,"Crea un potente rebufo estelar de corta duración, ideal para desplazarse rápidamente.", utile pour un déplacement rapide.,990
