name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
Escudos Acelerados,advancedshieldemitter,0,,,"defensive, shields, merc, standard",Shields,3000,,,,3,6,9,15,data.hullmods.AcceleratedShieldEmitter,Aumenta la velocidad de rotación de los escudos de la nave en un %s y la velocidad a la que se activan los escudos en un %s.,Aumenta la velocidad de rotación de los escudos y la velocidad de activación.,Aumenta la velocidad de rotación y la velocidad de activación de los escudos en un %s adicional.,graphics/hullmods/accelerated_shields.png
Bobinas Phase Adaptativas,adaptive_coils,2,,,"phase, merc, standard",Phase,5000,,,,5,10,15,25,com.fs.starfarer.api.impl.hullmods.AdaptivePhaseCoils,"Las bobinas phase pierden capacidad para mantener la conexión con el espacio normal a medida que aumentan los niveles de flux duro de la nave, lo que provoca una reducción considerable de la velocidad máxima ya que las bobinas tienen dificultades para ganar tracción.

Esta modificación permite que las bobinas soporten niveles más altos de flux duro, aumentando el umbral en el que la velocidad cae al mínimo en un %s. En el caso de las bobinas de diseño estándar sin otras modificaciones, esto eleva el umbral de %s a %s.",Reduce el efecto del flux duro sobre la velocidad máxima en phase.,,graphics/hullmods/phase_field.png
Ópticas Avanzadas,advancedoptics,2,,,"offensive, merc, standard",Weapons,1000,,,,5,10,15,25,data.hullmods.AdvancedOptics,"Aumenta el alcance de las armas de rayos en un %s, pero reduce su velocidad de rotación en un %s. Acumulativo con la Unidad de Puntería Integrada.",Aumenta el alcance de las armas de rayos.,,graphics/hullmods/advanced_optics.png
Giroscopios de Torreta Avanzados,turretgyros,0,,,"defensive, merc, standard",Weapons,2500,,,,2,4,6,10,data.hullmods.AdvancedTurretGyros,Aumenta la velocidad de rotación de todas las torretas en un %s.,Aumenta la velocidad de rotación de la torretas.,Aumenta el daño a misiles y cazas en un %s. Aumenta el daño a naves más pequeñas en un %s por cada clase de tamaño de diferencia.,graphics/hullmods/advanced_turret_gyros.png
Soportes de Armas Blindados,armoredweapons,0,,,"defensive, merc, standard","Weapons, Defenses",2500,TRUE,,,3,6,9,15,data.hullmods.ArmoredWeapons,"Aumenta la durabilidad de todas las armas en un %s y reduce el retroceso en un %s, pero disminuye la velocidad de rotación del arma en un %s. Además, aumenta el blindaje de la nave en un %s.","Hace que las armas sean más difíciles de incapacitar y reduce el retroceso.",Aumenta la cadencia de disparo de todas las armas que no sean misiles en un %s.,graphics/hullmods/armored_weapon_emplacements.png
Paquete de Asalto,assault_package,1,,,"defensive, civ_package, no_drop, no_drop_salvage, hide_in_codex","Special, Defenses",8000,,,,3,6,9,15,com.fs.starfarer.api.impl.hullmods.AssaultPackage,"Aumenta la integridad del casco de la nave en un %s, el blindaje en un %s y la capacidad de flux en un %s.

Intentará enfrentarse a los enemigos y, en la medida de lo posible, actuará como una nave de combate en batalla.","Aumenta la integridad del casco, el blindaje y la capacidad de flux.",,graphics/hullmods/assault_package.png
Unidad de Reparación Automática,autorepair,2,,,"engines, defensive, merc, standard",Defenses,7500,,,,3,6,9,15,data.hullmods.AutomatedRepairUnit,Reduce en un %s el tiempo necesario para reparar armas y motores averiados (en combate).,Aumenta la velocidad de reparación de las armas en combate.,"Reduce el tiempo de reparación a %s y la duración de sobrecarga en un %s.",graphics/hullmods/automated_repair_unit.png
Propulsores Auxiliares,auxiliarythrusters,1,,,"engines, merc, standard",Engines,5000,TRUE,,,4,8,12,20,data.hullmods.AuxiliaryThrusters,Aumenta la maniobrabilidad de la nave en un %s.,Aumenta la maniobrabilidad.,"Aumenta el boost de velocidad en 0-flux en un %s y la bonificación a la velocidad de giro en 0-flux en un %s.",graphics/hullmods/auxilliary_thrusters.png
Telémetro Balístico,ballistic_rangefinder,2,,,"offensive, merc, standard",Weapons,8000,,,,5,10,15,25,com.fs.starfarer.api.impl.hullmods.BallisticRangefinder,<tooltip created in the script due to lots of highlighting>,Aumenta el alcance base de las armas pequeñas y medianas en las ranuras balísticas.,,graphics/hullmods/ballistic_rangefinder.png
Puertas Blindadas,blast_doors,0,,,"defensive, merc, standard",Defenses,2500,TRUE,,,4,8,12,20,data.hullmods.BlastDoors,"Instala puertas herméticas y fuertemente reforzadas en puntos críticos por toda la nave. Aumenta la integridad del casco en un %s.

La nave sufre un %s menos de bajas entre la tripulación por los daños en el casco sufridos en combate.","Aumenta la integridad del casco y reduce las bajas entre la tripulación.",Aumenta la reducción de bajas de la tripulación al %s.,graphics/hullmods/blast_doors.png
Hangar Reconvertido,converted_hangar,1,,,"special, non_phase, merc, standard",Fighters,5000,,,,0,10,10,10,com.fs.starfarer.api.impl.hullmods.ConvertedHangar,<Tooltip created in script>,Bahía de cazas improvisada para naves que no son portaviones.,"Aumenta la velocidad a la que se recupera la tasa de repuesto de cazas en un %s para los cruceros y en un %s para las naves capitales. No tiene ningún efecto adicional para los destructores.",graphics/hullmods/converted_hangar.png
Bahía de Cazas Reconvertida,converted_fighterbay,0,,,"req_spaceport, special, non_phase, standard","Fighters, Logistics, Requires Dock",3000,,,,2,4,6,10,data.hullmods.ConvertedFighterBay,"Convierte las bahías de cazas de la nave en bodegas de carga improvisadas, otorgando una capacidad de carga adicional del %s y reduce la tripulación necesaria en un %s por cada bahía de cazas. La reducción de tripulantes tiene un límite máximo del %s.",Convierte las bahías de cazas integradas en bodegas de carga improvisadas.,El coste mensual de mantenimiento se reduce en un %s por cada bahía de cazas.,graphics/hullmods/converted_fighter_bay.png
Núcleo de Puntería Dedicado,dedicated_targeting_core,0,,,"offensive, merc, standard",Weapons,2500,TRUE,,,0,0,15,25,data.hullmods.DedicatedTargetingCore,"Aumenta el alcance de las armas balísticas y de energía en un %s/%s para los cruceros/naves capitales.

No se puede instalar en fragatas ni en destructores, y no es compatible con la Unidad de Puntería Integrada.

La mayoría de las naves de combate instalan una Unidad de Puntería Integrada o un Núcleo de Puntería Dedicado, salvo algunas variantes más especializadas.","Aumenta el alcance de las armas, sobre todo en naves más grandes.",Aumenta la bonificación de alcance a %s para los cruceros y a %s para las naves capitales.,graphics/hullmods/targeting_core.png
Matriz de Puntería Defensiva,defensive_targeting_array,2,,,"special, merc, standard",Fighters,3000,,,,2,4,6,10,com.fs.starfarer.api.impl.hullmods.DefensiveTargetingArray,"Los canales de comunicación estándar de los cazas se reasignan para proporcionar datos de localización de objetivos a corta distancia.

Aumenta el daño que infligen los cazas a misiles y a otros cazas en un %s, pero impide que los cazas se alejen de las proximidades de su nave.","Aumenta el daño antiaéreo de los cazas y reduce su radio de movimiento a cero.",Aumenta el alcance de las armas balísticas y de energía de los cazas de la nave en %s unidades.,graphics/hullmods/defensive_targeting_array.png
Paquete ECCM,eccm,2,,,"offensive, defensive, merc, standard",Weapons,2500,,,,5,8,15,20,data.hullmods.ECCMPackage,"Reduce en un %s la probabilidad de que los misiles lanzados por la nave se vean afectados por contramedidas electrónicas (ECM) y señuelos.

Un núcleo de CPU adjunto en cada misil aumenta la velocidad máxima del misil en un %s y su maniobrabilidad en un %s, además de mejorar significativamente el algoritmo de guía.

También reduce en un %s la disminución del alcance de las armas provocada por las contramedidas electrónicas (ECM) del enemigo.","Mejora la velocidad y el sistema de guía de los misiles, y reduce el ECM del enemigo.",Anula por completo la reducción del alcance de las armas y hace que los misiles de la nave ignoren siempre los señuelos.,graphics/hullmods/eccm_package.png
Paquete ECM,ecm,2,,,"offensive, special, merc, standard","Weapons, Support",4000,,,,6,12,18,24,com.fs.starfarer.api.impl.hullmods.ECMPackage,"Cuando se despliega en combate, otorga un índice de ECM de %s/%s/%s/%s, dependiendo del tamaño del casco de esta nave.",Aumenta el índice ECM de la nave.,,graphics/hullmods/ecm_package.png
Paquete Escolta,escort_package,1,,,"special, weapons, engines, standard","Special, Weapons, Engines",8000,,,,0,7,15,0,com.fs.starfarer.api.impl.hullmods.EscortPackage,"Cuando esta nave se encuentre a una distancia aproximada de %s su de una nave aliada de mayor tamaño, su maniobrabilidad aumenta en un %s y su velocidad máxima en un %s. Además, el alcance de las armas balísticas y de energía aumenta en un %s.

Estas bonificaciones son del %s para los destructores cuando la nave aliada cercana es una nave capital.","Maniobrabilidad y alcance de armas aumentados cerca de una nave aliada de mayor tamaño.",Destructores: reduce el daño recibido por los escudos en un %s. No tiene ningún efecto adicional para los cruceros.,graphics/hullmods/escort_package.png
