id,type,text1,text2,text3,text4,text5,notes
lightmg,WEAPON,"Categoría de armas antiguas de bajo coste y fácil adquisición, de disparo rápido, que se han utilizado con eficacia contra misiles y cazas a corto alcance a lo largo de la historia del combate espacial. Prácticamente inútiles contra objetivos debidamente blindados.

Debido a su facilidad de fabricación y modificación, existen cientos de variantes. Cualquiera de estas armas que dispare proyectiles inertes de propulsión química —fácilmente producidos incluso por una forja automática rudimentaria— por debajo de un determinado calibre se clasifica como metralleta ligera montada en nave. Los mecanismos que propulsen estas armas varían considerablemente. 

Son populares entre las pequeñas naves civiles debido a su bajo coste. El núcleo denso de los proyectiles suele estar recubierto de un metal más duro para facilitar la alimentación y la penetración. Estos sistemas de armas proporcionan una cantidad sorprendentemente grande de energía cinética a corta distancia a pesar de su diseño primitivo.",,,,,
lightdualmg,WEAPON,"Una versión mejorada de doble cañón de la venerable metralleta ligera. No es especialmente eficaz contra objetivos bien blindados, pero ha destacado en su función antimisiles y de caza desde los albores del combate espacial humano.

Se trata de un montaje doble de la misma arma de proyectiles químicos de bajo calibre, inertes y de disparo rápido, conocida por todos los pilotos y armeros del Sector. Un excelente montaje de defensa antiaérea, que destaca tanto en la interceptación de misiles como en la lucha contra cazas. 

La gran cantidad de energía cinética que se aplica a los sistemas de escudos de las naves enemigas a corta distancia suele provocar una sobrecarga del emisor, una opción táctica que a menudo pasan por alto los capitanes sin experiencia.",,,,,
lightmortar,WEAPON,"Un arma anticuada que lanza proyectiles antiblindaje con baja cadencia de fuego, velocidad inicial y alcance. Su escasa acumulación de flux es su única virtud.

Los planos de los morteros ligeros no estaban pensados en absoluto para naves espaciales, pero una ingeniosa modificación del mecanismo de carga por la recámara permite su instalación y uso fuera de un entorno atmosférico. En combate, el mortero ligero tiene un rendimiento deficiente contra objetivos que se mueven rápidamente o que están protegidos por escudos, debido a su pésima rotación de la plataforma y a su baja cadencia de fuego. No obstante, se utiliza a menudo para formar a oficiales de artillería novatos en los aspectos más sutiles de las tácticas y la nomenclatura de la balística espacial.

Se instala habitualmente en yates privados y vehículos interplanetarios individuales debido a su baja masa y coste.",,,,,
heavymortar,WEAPON,"Un arma anticuada que dispara proyectiles antiblindaje de mayor tamaño a una cadencia de fuego algo superior a la de su primo más pequeño. La velocidad del proyectil es baja y el alcance efectivo es corto. Su única ventaja es la baja acumulación de flux.

El mortero pesado se diseñó originalmente para su uso en combates en la superficie planetaria. Aunque aparentemente estaba destinado a derribar fortificaciones militares, se utilizó mucho más en bombardeos urbanos. Sus robustos mecanismos internos permiten su instalación y uso fuera de un entorno atmosférico con solo pequeños ajustes, en particular la sustitución del módulo automático de telémetro/puntería. Cuando se emplea contra objetivos grandes, sin blindaje y de movimiento lento, el mortero pesado puede resultar muy eficaz.",,,,,
vulcan,WEAPON,"Un sistema de armas balísticas de defensa antiaérea de fuego rápido especialmente devastador contra misiles y cazas a muy corto alcance. La precisión se degrada drásticamente durante ráfagas de fuego prolongadas. 

Esta plataforma de armas de múltiples cañones se basa en un mecanismo de sincronización avanzado fabricado habitualmente por nanoforjas autorizadas por la Hegemonía. Los proyectiles suelen tener puntas de uranio empobrecido y no son explosivos. Los múltiples cañones permiten una cadencia de fuego extremadamente alta, aunque a un alto coste de flux.",,,,,
lightac,WEAPON,"Un cañón automático de pequeño calibre con un buen alcance para un chasis tan ligero. Diseñado para contrarrestar los escudos enemigos y especialmente eficaz contra los generadores más débiles utilizados en cascos más pequeños.

Cuenta con proyectiles cinéticos de alta velocidad que proporcionan un excelente apoyo de fuego para naves más pequeñas. La escasa velocidad de rotación del soporte, debido a un complejo sistema de carga automática y a la refrigeración líquida, hace que el Autocañón Ligero sea una mala opción para la defensa contra cazas y misiles.",,,,,
lightdualac,WEAPON,"Una versión de doble cañón del Autocañón Ligero. Es un arma excelente para el apoyo a corta distancia y bastante eficaz a la hora de derribar escudos, pero adolece de un alcance efectivo más corto debido a su elevado retroceso.

Un ingenioso diseño mecánico evita que los puertos de expulsión se atasquen, al tiempo que expulsa el doble de casquillos de cartuchos usados que el chasis estándar del Autocañón Ligero. Al igual que la versión de un solo cañón, este sistema de armas dispara proyectiles de alta velocidad diseñados para atravesar los escudos enemigos. El sistema de carga automática y los sistemas de refrigeración líquida son, por lo demás, idénticos a los de la versión de un solo cañón.",,,,,
lightag,WEAPON,"Un cañón de pequeño calibre diseñado para combates a corta distancia, excelente contra blindajes y con una cadencia de fuego magnífica.

Cañón de pequeño calibre diseñado para disparar proyectiles altamente explosivos. El diseño de los sistemas de refrigeración y del cargador automático hace hincapié en la seguridad y en la prevención de la detonación espontánea que podrían provocar los altos niveles de flux. Es el preferido de los capitanes de destructores que tienen algo que demostrar.",,,,,
fragbomb,WEAPON,"Lanza un racimo de bombetas que flotan libremente y conservan el impulso de la nave lanzadora. Las bombetas están equipadas con un fusible de proximidad.

Un lanzador de bombas de fragmentación dispara bombetas de fragmentación Mark VI desde tres tubos. Sin guía y sin sistema de propulsión, las submuniciones dependen de un sistema de puntería amigo-enemigo. Su gran número les permite cubrir una amplia franja de espacio, creando de forma efectiva una barrera de defensa antiaérea en esa ubicación, aunque sea por un tiempo limitado. Cuando la espoleta de proximidad es activada por una nave enemiga, la submunición detonará, logrando efectos similares a los de las armas antiaéreas.",,,,,
clusterbomb,WEAPON,"Lanza un racimo de bombetas altamente explosivas que flotan libremente. Más eficaz contra objetivos sin blindaje y de movimiento lento.

Un proyector de bombas de racimo está equipado con tres tubos diseñados para disparar docenas de bombetas penetrantes de formación explosiva Mark II. Las submuniciones no están guiadas y carecen de sistema de propulsión, por lo que dependen del impulso inicial de la nave de asalto para realizar el enfrentamiento con el objetivo. Están equipadas con un escáner de puntería para amigos o enemigos, y solo detonarán al impactar contra un objetivo adecuado. El explosivo de carga hueca es altamente explosivo contra objetivos sin blindaje. El gran número de submuniciones que puede realizar el despliegue con esta arma es asombroso, lo que convierte a la bomba de racimo en un arma útil para el control de área.",,,,,
